model,episodes,avg_reward,std_reward,min_reward,max_reward,median_reward
DDPG,50,40.56997762924707,6.634917970811372,35.68839655614723,70.95085722367077,38.67181184630192
A3C,50,118.56147068853566,35.85512873840275,42.29889152354188,151.06728661671184,140.21002058300257
PPO,50,122.91383984218709,33.24641444301195,51.3468977629248,150.35413788335575,144.06122521701798
